metric_id,metric_name,system_id,status,missing_data_fields,missing_capabilities,missing_prediction_fields,calculator_status
A-1,模态支持声明完整性,SUT-SYN-PERFECT,calculator_pending,,,,pending
A-1,模态支持声明完整性,SUT-SYN-INVERSE,calculator_pending,,,,pending
A-2,分模态识别准确度,SUT-SYN-PERFECT,calculator_pending,,,,pending
A-2,分模态识别准确度,SUT-SYN-INVERSE,calculator_pending,,,,pending
A-3,多模态一致性识别能力,SUT-SYN-PERFECT,unsupported,,multimodal_consistency,fake_modality_pred,pending
A-3,多模态一致性识别能力,SUT-SYN-INVERSE,unsupported,,multimodal_consistency,fake_modality_pred,pending
B-1,对象支持声明完整性,SUT-SYN-PERFECT,calculator_pending,,,,pending
B-1,对象支持声明完整性,SUT-SYN-INVERSE,calculator_pending,,,,pending
B-2,分对象识别准确度,SUT-SYN-PERFECT,calculator_pending,,,,pending
B-2,分对象识别准确度,SUT-SYN-INVERSE,calculator_pending,,,,pending
B-3,重要目标识别能力,SUT-SYN-PERFECT,unsupported,,object_classification,fake_object_pred,pending
B-3,重要目标识别能力,SUT-SYN-INVERSE,unsupported,,object_classification,fake_object_pred,pending
C-1,Accuracy,SUT-SYN-PERFECT,computable,,,,implemented
C-1,Accuracy,SUT-SYN-INVERSE,computable,,,,implemented
C-2,Precision,SUT-SYN-PERFECT,computable,,,,implemented
C-2,Precision,SUT-SYN-INVERSE,computable,,,,implemented
C-3,Recall,SUT-SYN-PERFECT,computable,,,,implemented
C-3,Recall,SUT-SYN-INVERSE,computable,,,,implemented
C-4,F1,SUT-SYN-PERFECT,computable,,,,implemented
C-4,F1,SUT-SYN-INVERSE,computable,,,,implemented
C-5,AUC,SUT-SYN-PERFECT,computable,,,,implemented
C-5,AUC,SUT-SYN-INVERSE,computable,,,,implemented
C-6,EER,SUT-SYN-PERFECT,computable,,,,implemented
C-6,EER,SUT-SYN-INVERSE,computable,,,,implemented
C-7,代价敏感错误率,SUT-SYN-PERFECT,calculator_pending,,,,pending
C-7,代价敏感错误率,SUT-SYN-INVERSE,calculator_pending,,,,pending
C-8,区域定位精度,SUT-SYN-PERFECT,missing_data,regions,spatial_localization,regions,implemented
C-8,区域定位精度,SUT-SYN-INVERSE,missing_data,regions,spatial_localization,regions,implemented
C-9,片段定位精度,SUT-SYN-PERFECT,missing_data,segments,temporal_localization,segments,implemented
C-9,片段定位精度,SUT-SYN-INVERSE,missing_data,segments,temporal_localization,segments,implemented
C-10,AP/mAP,SUT-SYN-PERFECT,missing_data,regions,ranked_localization,regions,pending
C-10,AP/mAP,SUT-SYN-INVERSE,missing_data,regions,ranked_localization,regions,pending
D-1,平均识别时延,SUT-SYN-PERFECT,computable,,,,implemented
D-1,平均识别时延,SUT-SYN-INVERSE,computable,,,,implemented
D-2,实时率,SUT-SYN-PERFECT,unsupported,,temporal_media,,implemented
D-2,实时率,SUT-SYN-INVERSE,unsupported,,temporal_media,,implemented
D-3,FPS,SUT-SYN-PERFECT,unsupported,,video_processing,,pending
D-3,FPS,SUT-SYN-INVERSE,unsupported,,video_processing,,pending
D-4,吞吐量,SUT-SYN-PERFECT,missing_data,batch_size;concurrency;wall_clock_sec,,,implemented
D-4,吞吐量,SUT-SYN-INVERSE,missing_data,batch_size;concurrency;wall_clock_sec,,,implemented
D-5,资源占用,SUT-SYN-PERFECT,unsupported,,resource_telemetry,,pending
D-5,资源占用,SUT-SYN-INVERSE,unsupported,,resource_telemetry,,pending
E-1,扰动后识别性能,SUT-SYN-PERFECT,missing_data,perturbation_id,,,pending
E-1,扰动后识别性能,SUT-SYN-INVERSE,missing_data,perturbation_id,,,pending
E-2,性能下降率,SUT-SYN-PERFECT,missing_data,perturbation_id,,,pending
E-2,性能下降率,SUT-SYN-INVERSE,missing_data,perturbation_id,,,pending
E-3,最差扰动场景性能,SUT-SYN-PERFECT,missing_data,perturbation_id,,,pending
E-3,最差扰动场景性能,SUT-SYN-INVERSE,missing_data,perturbation_id,,,pending
E-4,对抗样本抵御能力,SUT-SYN-PERFECT,missing_data,adversarial_id,,,pending
